dept_name;state;notFound;notMatched
Ellis County Poor Farm;TX;False;False
Galveston County Sheriff's Office;TX;False;False
Presidio County Sheriff's Department;TX;False;False
Norton Police Department;VA;False;False
Chillicothe Police Department;OH;False;False
New York Police Department;NY;False;False
Pulaski County Sheriff's Department;KY;False;False
Amsterdam Police Department;NY;False;False
Knott County Sheriff's Department;KY;False;False
Bowie County Sheriff's Department;TX;False;False
Atchison, Topeka and Santa Fe Railroad Police Department;RR;False;False
Sharpsburg Marshal's Office;KY;False;False
Seward County Sheriff's Office;KS;False;False
Roanoke City Police Department;VA;False;False
Fort Scott Police Department;KS;False;False
DeSoto County Sheriff's Office;FL;False;False
Whitley County Sheriff's Department;KY;False;False
Dexter Police Department;MO;False;False
Reading Coal and Iron Police Department;PA;False;False
Leslie County Sheriff's Office;KY;False;False
Whitman County Sheriff's Department;WA;False;False
Charlotte Police Department;NC;False;False
Vigo County Sheriff's Office;IN;False;False
Monroe County Sheriff's Office;TN;False;False
Corpus Christi Police Department;TX;False;False
Toccoa Police Department;GA;False;False
Burnet Police Department;TX;False;False
Perry County Sheriff's Office;AR;False;False
Dallas Police Department;TX;False;False
Bibb County Sheriff's Office;GA;False;False
McLennan County Convict Farm;TX;False;False
Baxter County Sheriff's Department;AR;False;False
Rogers Park Police Department;IL;False;False
Montgomery Police Department;WV;False;False
Easley Police Department;SC;False;False
Butte Police Department;MT;False;False
Fort Worth Police Department;TX;False;False
Tucson Police Department;AZ;False;False
Kiowa County Sheriff's Office;KS;False;False
Donley County Constable's Office - Precinct 2;TX;False;False
Texas and Southwestern Cattle Raisers Association;TX;False;False
Montgomery County Sheriff's Office;KY;False;False
Montgomery County Regional Jail;KY;False;False
Tacoma Police Department;WA;False;False
McDonald Borough Police Department;PA;False;False
Eugene Town Marshal's Office;IN;False;False
Winfield Police Department;KS;False;False
Cairo Police Department;IL;False;False
Lexington Police Department;MO;False;False
Coffeyville Police Department;KS;False;False
United States Department of the Treasury - Office of Internal Revenue - Division of Revenue Agents;US;False;False
Heath Springs Police Department;SC;False;False
Richmond County Sheriff's Office;NC;False;False
Gordon County Sheriff's Office;GA;False;False
Snowflake Police Department;AZ;False;False
Franklin County Constable's Office - Precinct 3;TX;False;False
Butler County Sheriff's Office;AL;False;False
Morris County Constable's Office - Precinct 3;TX;False;False
Wise County Constable's Office - Precinct 2;TX;False;False
Lamasco Police Department;KY;False;False
Van Zandt County Sheriff's Office;TX;False;False
Magoffin County Constable's Office;KY;False;False
Charleston County Magistrate's Office;SC;False;False
Jackson Police Department;MS;False;False
Butte County Sheriff's Office;CA;False;False
Duval County Constable's Office - Precinct 2;TX;False;False
Michigan Department of Corrections;MI;False;False
Carlisle Borough Police Department;PA;False;False
Chicago, Milwaukee and St. Paul Railroad Police Department;RR;False;False
